Table,Manufacturer,Year,Author,VPW/toolkit,Download,VPS-ID,Date added,Vouched for by,Confidence,"Notes, comments",Comp. Corner,C.C. last played,Rules/Instruction Cards,Tutorials
Haunted House,Gottlieb,1982,VPW,,Haunted House (Gottlieb 1982) VPW - VPX - Pinball Tables,TscqlNWDQz,06/11/2023,Colvert,Full,HH7 rom for 7 digit scoring,,30/10/2023,Haunted House (1982),Haunted House (Gottlieb 1982) - VPX Video Instruction
High Speed ,Williams,1986,Chokeee,,High Speed MOD - VPX - Pinball Tables,fXCQ03cN,28/06/2023,PinStratsDan,Full,,,07/08/2023,Pinball Archive Rule Sheet: High Speed,High Speed Pinball Tutorial
High Speed II: The Getaway ,Williams,1992,Chokeee ,,The Getaway: High Speed II MOD - VPX - Pinball Tables,g0QpG_nVzj,28/06/2023,Pinblaze,Full,,,04/11/2024,Pinball Archive Rule Sheet: High Speed II: The Getaway,The Getaway: High Speed II Mini-Guide | Pinball for Mortals!
Hook ,Data East,1992,VPW,,Hook (Data East 1992) VPW Mod - VPX - Pinball Tables,jJnyuyzx,28/06/2023,PinStratsDan,Full,,,27/09/2021,https://www.maaca.org/download/file.php?id=8774&sid=ad7d18e1ddb8d4ac25da25cb36cc2582,Hook (Data East 1992) - VPX Instruction Video
Indiana Jones The Pinball Adventure ,Williams,1993,VPW,,Indiana Jones The Pinball Adventure (Williams 1993) VPWmod - VPX,yY_jeCZi,28/06/2023,Jutsuka,Full,,,24/02/2025,Pinball Archive Rule Sheet: Indiana Jones,Indiana Jones Pinball Tutorial
Indianapolis 500 ,Bally,1995,TastyWasps,,Indianapolis 500 (Bally 1995) - VPX - Pinball Tables,JWpSQr6u83,28/06/2023,PinStratsDan,Medium,Balls stuck under ramps. Lost balls during multiball in Turbocharger,,03/07/2023,Pinball Archive Rule Sheet: Indianapolis 500,Indianapolis 500 Pinball Tutorial
Iron Maiden Legacy of the Beast ,Stern,2018,VPW,,Iron Maiden Legacy of the Beast (Original 2022) VPW - VPX - Pinball Tables,_UMEFSmYor,28/06/2023,PinStratsDan,Full,,,13/05/2024,Iron Maiden Pinball Rulesheet,"Iron Maiden Pinball Tutorial, Strategy & Rules Guide | Kineticist"
Iron Man Vault Edition,Stern,2010,VPW,,Iron Man Vault Edition (Stern 2014) VPW Edition - VPX - Pinball Tables,tvk7ADQG9r,28/06/2023,PinStratsDan,Full,,,04/03/2024,this second part of our exclusive in-depth review of Stern's Iron Man.,Iron Man Pinball Tutorial
IT Pinball Madness ,Original,2022,JP Salas & Joe Picasso,,It Pinball Madness - VPX,fvb6yyiKqi,28/06/2023,PinStratsDan,Full,,,09/01/2023,in the download ,
Jack Bot ,Williams,1995,Bord,,Jack·Bot (Williams 1995) - VPX - Pinball Tables,gRRS4ld1,28/06/2023,PinStratsDan,Full,,,21/02/2022,Pinball Archive Rule Sheet: Jack*Bot,Jackbot Pinball Tutorial
Jive Time,Williams,1970,Rothbauerw,,Jive Time (Williams 1970) - VPX - Pinball Tables,LENyN6mF,12/09/2023,Studlygoorite,Full,,,,Jive Time (1970),
Johnny Mnemonic,Williams,1995,VPW,,Johnny Mnemonic (Williams 1995) - VPX - Pinball Tables,0C5wsuEWh1,18/08/2023,Colvert,Full,Midnight Madness mode,,04/09/2023,Pinball Archive Rule Sheet: Johnny Mnemonic,Johnny Mnemonic (Williams 1995) - VPX Video Instruction
Joker Poker,Gottlieb,1978,HiRez00,,Joker Poker EM (Gottlieb 1978) - 'Smokey Blues Edition' - VPX - Pinball Tables,UImLRY66p7,29/06/2023,HayJay,Full,,,,Joker Poker - Pinball Rules,Joker Poker Pinball Minutorial
Jokerz ,Williams,1988,VPW,,Jokerz! (Williams 1988) VPW - VPX - Pinball Tables,ZRBFZJ3xDT,28/06/2023,PinStratsDan,Full,,,09/05/2022,Pinball Archive Rule Sheet: Jokerz!,Jokerz Pinball Tutorial & Gameplay (Williams 1988)
Judge Dredd ,Bally,1993,VPW,,Judge Dredd (Bally 1993) VPW - VPX - Pinball Tables,tyV4kDM2,28/06/2023,PinStratsDan,Full,,,03/06/2024,Pinball Archive Rule Sheet: Judge Dredd,
Jungle Lord ,Williams,1981,UnclePaulie,,Jungle Lord (Williams 1981) w VR Room - VPX - Pinball Tables,_0fhXbhm3h,28/06/2023,PinStratsDan,Full,,,,Pinball Archive Rule Sheet: Jungle Lord,Jungle Lord Pinball Tutorial and Gameplay
